altitude_m,altitude_ft,correction_factor,source
0.0,0,1.00,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
304.8,1000,0.96,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
609.6,2000,0.93,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
914.4,3000,0.89,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
1219.2,4000,0.86,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
1524.0,5000,0.82,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
1828.8,6000,0.78,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
2133.6,7000,0.75,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
2438.4,8000,0.72,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
2743.2,9000,0.69,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
3048.0,10000,0.66,"NFPA 2001 Table A.5.5.3.3; ANSUL manuals 442940-01 and 451540-01 Table 5-9"
