id,key,enabled,bom_type,cylinder_label,agent_type,item_order,brand,code,product,unit,quantity_base,delivery,unit_price
1,SISTEMATANK SIZE 8LFM-2001-1,True,SISTEMA,TANK SIZE 8L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 8L,c/u.,1.0,8L CARGA,1
2,SISTEMATANK SIZE 8LFM-2001-2,True,SISTEMA,TANK SIZE 8L,FM-200,2.0,ANSUL,445732,"TANK SIZE 8L, Fill: 9-17 lb.",c/u.,1.0,445732,1
3,SISTEMATANK SIZE 8LFM-2001-3,True,SISTEMA,TANK SIZE 8L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
4,SISTEMATANK SIZE 8LFM-2001-4,True,SISTEMA,TANK SIZE 8L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
5,SISTEMATANK SIZE 8LFM-2001-5,True,SISTEMA,TANK SIZE 8L,FM-200,5.0,ANSUL,314205321,Label FM-200 8/16/52L UL/FM,c/u.,1.0,314205321,1
6,SISTEMATANK SIZE 8LFM-2001-6,True,SISTEMA,TANK SIZE 8L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
7,SISTEMATANK SIZE 8LFM-2001-7,True,SISTEMA,TANK SIZE 8L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
8,SISTEMATANK SIZE 8LFM-2001-8,True,SISTEMA,TANK SIZE 8L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
9,SISTEMATANK SIZE 8LFM-2001-9,True,SISTEMA,TANK SIZE 8L,FM-200,9.0,ANSUL,570085-R2,"Tank Bracket Assembly (Fits 20, 50 & 90 lb. Tanks)",c/u.,1.0,570085-R2,1
10,SISTEMATANK SIZE 8LFM-2001-10,True,SISTEMA,TANK SIZE 8L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 8L,1
11,SISTEMATANK SIZE 8LFM-2001-11,True,SISTEMA,TANK SIZE 8L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
12,SISTEMATANK SIZE 8LFM-2001-12,True,SISTEMA,TANK SIZE 8L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
13,SISTEMATANK SIZE 8LFM-2001-13,True,SISTEMA,TANK SIZE 8L,FM-200,13.0,ANSUL,570557,"Single-Tank Swivel Adaptor, 1 in. (P/N 309002016)",c/u.,1.0,570557,1
14,SISTEMATANK SIZE 8LFM-2001-14,True,SISTEMA,TANK SIZE 8L,FM-200,14.0,,,,c/u.,,0,1
15,SISTEMATANK SIZE 8LFM-2001-15,True,SISTEMA,TANK SIZE 8L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
16,SISTEMATANK SIZE 8LFM-2001-16,True,SISTEMA,TANK SIZE 8L,FM-200,16.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
17,SISTEMATANK SIZE 8LFM-2001-17,True,SISTEMA,TANK SIZE 8L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
19,OPCIONALTANK SIZE 8LFM-2001-1,True,OPCIONAL,TANK SIZE 8L,FM-200,1.0,ANSUL,570539-R2,"Flexible Discharge Hose, 1 in.",c/u.,1.0,570539-R2,1
20,OPCIONALTANK SIZE 8LFM-2001-2,True,OPCIONAL,TANK SIZE 8L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
21,OPCIONALTANK SIZE 8LFM-2001-3,True,OPCIONAL,TANK SIZE 8L,FM-200,3.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
22,OPCIONALTANK SIZE 8LFM-2001-4,True,OPCIONAL,TANK SIZE 8L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
23,OPCIONALTANK SIZE 8LFM-2001-5,True,OPCIONAL,TANK SIZE 8L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
25,SISTEMATANK SIZE 16LFM-2001-1,True,SISTEMA,TANK SIZE 16L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 16L,c/u.,1.0,16L CARGA,1
26,SISTEMATANK SIZE 16LFM-2001-2,True,SISTEMA,TANK SIZE 16L,FM-200,2.0,ANSUL,445733,"TANK SIZE 16L, Fill: 18-35 lb.",c/u.,1.0,445733,1
27,SISTEMATANK SIZE 16LFM-2001-3,True,SISTEMA,TANK SIZE 16L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
28,SISTEMATANK SIZE 16LFM-2001-4,True,SISTEMA,TANK SIZE 16L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
29,SISTEMATANK SIZE 16LFM-2001-5,True,SISTEMA,TANK SIZE 16L,FM-200,5.0,ANSUL,314205321,Label FM-200 8/16/52L UL/FM,c/u.,1.0,314205321,1
30,SISTEMATANK SIZE 16LFM-2001-6,True,SISTEMA,TANK SIZE 16L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
