agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,-28.889,-20,4.2,0.749664,0.0468,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,4.2,0.730442,0.0456,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,4.2,0.712822,0.0445,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,4.2,0.695201,0.0434,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,4.2,0.679183,0.0424,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,4.2,0.663164,0.0414,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,4.2,0.648748,0.0405,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,4.2,0.634331,0.0396,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,4.2,0.619915,0.0387,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,4.2,0.6071,0.0379,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,4.2,0.594285,0.0371,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,4.2,0.583072,0.0364,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,4.2,0.571859,0.0357,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,4.2,0.560646,0.035,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,4.2,0.549433,0.0343,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,4.2,0.53822,0.0336,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,4.2,0.528609,0.033,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,4.2,0.518998,0.0324,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,4.2,0.510989,0.0319,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,4.2,0.501378,0.0313,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,4.2,0.493369,0.0308,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,4.2,0.483758,0.0302,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,4.2,0.475748,0.0297,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,4.2,0.469341,0.0293,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,4.2,0.461332,0.0288,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,4.5,0.805729,0.0503,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,4.5,0.784905,0.049,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,4.5,0.765683,0.0478,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,4.5,0.748062,0.0467,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,4.5,0.730442,0.0456,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,4.5,0.712822,0.0445,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,4.5,0.696803,0.0435,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,4.5,0.680785,0.0425,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,4.5,0.666368,0.0416,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,4.5,0.651951,0.0407,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,4.5,0.639137,0.0399,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,4.5,0.626322,0.0391,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,4.5,0.613507,0.0383,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,4.5,0.602294,0.0376,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,4.5,0.591081,0.0369,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,4.5,0.579868,0.0362,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
FK-5-1-12,60.0,140,4.5,0.568655,0.0355,calculo_supresion.xlsx tabla_temperatura
